,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
0,1,1272758400000000000,1643690.9,0,42.31,2.572,211.0963582,8.106
1,1,1291248000000000000,1641957.44,1,38.51,2.548,211.2421698,8.106
2,1,1266537600000000000,1611968.17,0,39.93,2.514,211.2891429,8.106
3,1,1267142400000000000,1409727.59,0,46.63,2.561,211.3196429,8.106
4,1,1272844800000000000,1554806.68,0,46.5,2.625,211.3501429,8.106
5,1,1291334400000000000,1439541.59,0,57.79,2.667,211.3806429,8.106
6,1,1268956800000000000,1472515.79,0,54.58,2.72,211.215635,8.106
7,1,1269561600000000000,1404429.92,0,51.45,2.732,211.0180424,8.106
8,1,1265241600000000000,1594968.28,0,62.27,2.719,210.8204499,7.808
9,1,1283558400000000000,1545418.53,0,65.86,2.77,210.6228574,7.808
10,1,1271376000000000000,1466058.28,0,66.32,2.808,210.4887,7.808
11,1,1271980800000000000,1391256.12,0,64.84,2.795,210.4391228,7.808
12,1,1272585600000000000,1425100.71,0,67.41,2.78,210.3895456,7.808
13,1,1278288000000000000,1603955.12,0,72.55,2.835,210.3399684,7.808
14,1,1273795200000000000,1494251.5,0,74.78,2.854,210.3374261,7.808
15,1,1274400000000000000,1399662.07,0,76.44,2.826,210.6170934,7.808
16,1,1275004800000000000,1432069.95,0,80.44,2.759,210.8967606,7.808
17,1,1270512000000000000,1615524.71,0,80.69,2.705,211.1764278,7.808
18,1,1289001600000000000,1542561.09,0,80.43,2.668,211.4560951,7.808
19,1,1276819200000000000,1503284.06,0,84.11,2.637,211.4537719,7.808
20,1,1277424000000000000,1422711.6,0,84.34,2.653,211.3386526,7.808
21,1,1265500800000000000,1492418.14,0,80.91,2.669,211.2235333,7.787
22,1,1283817600000000000,1546074.18,0,80.48,2.642,211.108414,7.787
23,1,1279238400000000000,1448938.92,0,83.15,2.623,211.1003854,7.787
24,1,1279843200000000000,1385065.2,0,83.36,2.608,211.2351443,7.787
25,1,1280448000000000000,1371986.6,0,81.84,2.64,211.3699032,7.787
26,1,1275955200000000000,1605491.78,0,87.16,2.627,211.5046621,7.787
27,1,1281657600000000000,1508237.76,0,87.0,2.692,211.6394211,7.787
28,1,1282262400000000000,1513080.49,0,86.65,2.664,211.6033633,7.787
29,1,1282867200000000000,1449142.92,0,85.22,2.619,211.5673056,7.787
30,1,1268092800000000000,1540163.53,0,81.21,2.577,211.5312479,7.787
31,1,1286582400000000000,1507460.69,1,78.69,2.565,211.4951902,7.787
32,1,1284681600000000000,1430378.67,0,82.11,2.582,211.5224596,7.787
33,1,1285286400000000000,1351791.03,0,80.94,2.624,211.5972246,7.787
34,1,1263081600000000000,1453329.5,0,71.89,2.603,211.6719895,7.838
35,1,1281398400000000000,1508239.93,0,63.93,2.633,211.7467544,7.838
36,1,1287100800000000000,1459409.1,0,67.18,2.72,211.8137436,7.838
37,1,1287705600000000000,1345454.0,0,69.86,2.725,211.8612937,7.838
38,1,1288310400000000000,1384209.22,0,69.64,2.716,211.9088438,7.838
39,1,1273536000000000000,1551659.28,0,58.74,2.689,211.9563939,7.838
40,1,1292025600000000000,1494479.49,0,59.61,2.728,212.003944,7.838
41,1,1290124800000000000,1483784.18,0,51.41,2.771,211.8896737,7.838
42,1,1290729600000000000,1955624.11,1,64.52,2.735,211.7484333,7.838
43,1,1268352000000000000,1548033.78,0,49.27,2.708,211.607193,7.838
44,1,1286841600000000000,1682614.26,0,46.33,2.843,211.4659526,7.838
45,1,1292544000000000000,1891034.93,0,49.84,2.869,211.4053124,7.838
46,1,1293148800000000000,2387950.2,0,52.33,2.886,211.4051222,7.838
47,1,1293753600000000000,1367320.01,1,48.43,2.943,211.4049321,7.838
48,1,1309478400000000000,1444732.28,0,48.27,2.976,211.4047419,7.742
49,1,1294963200000000000,1391013.96,0,35.4,2.983,211.4574109,7.742
50,1,1295568000000000000,1327405.42,0,44.04,3.016,211.8272343,7.742
51,1,1296172800000000000,1316899.31,0,43.83,3.01,212.1970577,7.742
52,1,1301702400000000000,1606629.58,0,42.27,2.989,212.5668812,7.742
54,1,1297987200000000000,1686842.78,0,57.36,3.045,213.2478853,7.742
55,1,1298592000000000000,1456800.28,0,62.9,3.065,213.535609,7.742
56,1,1301788800000000000,1636263.41,0,59.58,3.288,213.8233327,7.742
58,1,1300406400000000000,1576818.06,0,62.76,3.488,214.3627114,7.742
59,1,1301011200000000000,1541102.38,0,69.97,3.473,214.5999389,7.742
60,1,1294099200000000000,1495064.75,0,59.17,3.524,214.8371664,7.682
61,1,1312416000000000000,1614259.35,0,67.84,3.622,215.0743939,7.682
62,1,1302825600000000000,1559889.0,0,71.27,3.743,215.2918561,7.682
63,1,1303430400000000000,1564819.81,0,72.99,3.807,215.4599053,7.682
64,1,1304035200000000000,1455090.69,0,72.03,3.81,215.6279544,7.682
65,1,1307232000000000000,1629391.28,0,64.61,3.906,215.7960035,7.682
66,1,1305244800000000000,1604775.58,0,75.64,3.899,215.9640526,7.682
