,Weekly_Sales
0,1643690.9
1,1641957.44
2,1611968.17
3,1409727.59
4,1554806.68
5,1439541.59
6,1472515.79
7,1404429.92
8,1594968.28
9,1545418.53
10,1466058.28
11,1391256.12
12,1425100.71
13,1603955.12
14,1494251.5
15,1399662.07
16,1432069.95
17,1615524.71
18,1542561.09
19,1503284.06
20,1422711.6
21,1492418.14
22,1546074.18
23,1448938.92
24,1385065.2
25,1371986.6
26,1605491.78
27,1508237.76
28,1513080.49
29,1449142.92
30,1540163.53
31,1507460.69
32,1430378.67
33,1351791.03
34,1453329.5
35,1508239.93
36,1459409.1
37,1345454.0
38,1384209.22
39,1551659.28
40,1494479.49
41,1483784.18
42,1955624.11
43,1548033.78
44,1682614.26
45,1891034.93
46,2387950.2
47,1367320.01
48,1444732.28
49,1391013.96
50,1327405.42
51,1316899.31
52,1606629.58
54,1686842.78
55,1456800.28
56,1636263.41
58,1576818.06
59,1541102.38
60,1495064.75
61,1614259.35
62,1559889.0
63,1564819.81
64,1455090.69
65,1629391.28
66,1604775.58
67,1428218.27
68,1466046.67
69,1635078.41
71,1532114.86
72,1438830.15
73,1488538.09
74,1534849.64
75,1455119.97
76,1396926.82
77,1352219.79
78,1624383.75
80,1530761.43
81,1464693.46
82,1550229.22
83,1540471.24
84,1514259.78
87,1630989.95
91,1697229.58
95,1584083.95
96,1799682.38
143,2136989.46
144,2137809.5
145,2124451.54
146,1865097.27
147,1991013.13
148,1990483.78
149,1946070.88
150,1750197.81
151,2066187.72
152,1954689.21
153,1874957.94
154,1821990.93
155,1802450.29
156,2042581.71
157,1880752.36
158,1896937.1
159,1957113.89
160,2102539.93
161,2025538.76
162,2001636.96
163,1939927.09
164,2003940.64
165,1880902.62
166,1845879.79
167,1781717.71
168,1804246.16
169,1991909.98
170,1895601.05
171,1964335.23
172,1863840.49
173,1904608.09
174,1839128.83
175,1793903.6
176,1724557.22
177,1827440.43
178,1849921.44
179,1794355.49
180,1737947.64
181,1802755.11
182,1939061.41
183,1916812.74
184,1956739.17
185,2658725.29
186,2015781.27
187,2378726.55
188,2609166.75
189,3436007.68
190,1750434.55
191,1758050.79
192,1744193.58
193,1751384.9
194,1695371.68
195,1929346.23
197,2080884.82
198,1833511.08
199,1981607.78
201,1902557.66
202,1766162.05
203,1800171.36
204,1847552.61
205,1856467.84
206,1886339.6
207,1745545.28
208,1837743.6
209,1838513.07
210,1688281.86
211,1797732.56
212,1933756.21
214,1953771.99
215,1790925.8
216,1866243.0
217,1853161.99
218,1785187.29
219,1743816.41
220,1680693.06
221,1876704.26
223,1844094.59
224,1821139.91
225,1809119.7
226,1748000.65
227,1691439.52
230,1837553.43
234,1959707.9
238,1954952.0
239,2290549.32
286,461622.22
287,420728.96
288,421642.19
289,407204.86
290,415202.04
291,384200.69
292,375328.59
293,359949.27
294,423294.4
295,415870.28
296,354993.26
297,339976.65
298,361248.39
299,399323.86
300,384357.94
301,343763.17
302,350089.23
303,396968.8
304,355017.09
305,364076.85
306,357346.48
307,381151.72
308,349214.18
309,352728.78
310,352864.49
311,347955.05
312,402635.76
313,339597.38
314,351728.21
315,362134.09
316,366473.97
317,352260.97
318,363064.64
319,355626.87
320,358784.1
321,395107.35
322,345584.39
323,348895.98
324,348591.74
325,423175.56
326,386635.03
327,372545.32
328,565567.84
329,476420.77
330,467642.03
331,498159.39
332,605990.41
333,382677.76
334,378241.34
335,381061.1
336,350876.7
337,364866.24
338,438516.53
340,432782.1
341,397211.19
342,437084.51
344,392109.51
345,380683.67
346,374556.08
347,384075.31
348,366250.69
349,391860.04
350,367405.4
351,413042.12
352,386312.68
353,364603.13
354,369350.6
355,394507.84
357,403423.34
358,385520.71
359,368962.72
360,395146.24
361,373454.33
362,360617.37
363,345381.29
364,409981.25
366,379716.91
367,366367.55
368,375988.69
369,377347.49
370,375629.51
373,403342.4
377,459443.22
381,472511.32
382,468772.8
429,2135143.87
430,2188307.39
431,2049860.26
432,1925728.84
433,1971057.44
434,1894324.09
435,1897429.36
436,1762539.3
437,1979247.12
438,1818452.72
439,1851519.69
440,1802677.9
441,1817273.28
442,2000626.14
443,1875597.28
444,1903752.6
445,1857533.7
446,1903290.58
447,1870619.23
448,1929736.35
449,1846651.95
450,1881337.21
451,1812208.22
452,1898427.66
453,1848426.78
454,1796637.61
455,1907638.58
456,2007050.75
457,1997181.09
458,1848403.92
459,1935857.58
460,1865820.81
461,1899959.61
462,1810684.68
463,1842821.02
464,1951494.85
465,1867345.09
466,1927610.06
467,1933333.0
468,2013115.79
469,1999794.26
470,2097809.4
471,2789469.45
472,2102530.17
473,2302504.86
474,2740057.14
475,3526713.39
476,1794868.74
477,1862476.27
478,1865502.46
479,1886393.94
480,1814240.85
481,2119086.04
483,2316495.56
484,2078094.69
485,2103455.75
487,2116475.38
488,1944164.32
489,1900246.47
490,2074953.46
491,1960587.76
492,2220600.76
493,1878167.44
494,2063682.76
495,2002362.37
496,2015563.48
497,1986597.95
498,2065377.15
500,2141210.62
501,2008344.92
502,2051533.53
503,2066541.86
504,2049046.95
505,2036231.39
506,1989674.07
507,2160057.39
509,2232892.1
510,1988490.21
511,2078420.31
512,2093139.01
513,2075577.33
516,2166737.65
520,2281217.31
524,2180999.26
525,2508955.24
572,317173.1
573,311825.7
574,303447.57
575,270281.63
576,288855.71
577,297293.59
578,281706.41
579,273282.97
580,331406.0
581,328020.49
582,306858.69
583,288839.73
584,298697.84
585,333522.6
586,296673.77
587,301615.49
588,310013.11
589,337825.89
590,296641.91
591,313795.6
592,295257.3
593,305993.27
594,291808.87
595,280701.7
596,274742.63
597,268929.03
598,303043.02
599,286477.35
600,287205.38
601,288519.75
602,323798.0
603,306533.08
604,282558.65
605,293131.58
606,283178.12
607,290494.85
608,280681.2
609,284988.27
610,278031.81
611,325310.3
612,301827.36
613,297384.81
614,488362.61
615,344490.88
616,352811.53
617,367801.19
618,466010.25
619,298180.18
620,286347.26
621,260636.71
622,275313.34
623,279088.39
624,329613.2
626,356622.61
627,294659.5
628,329033.66
630,312177.67
631,294732.5
632,314316.55
633,307333.62
634,307913.58
635,328415.44
636,307291.56
637,322904.68
638,290930.01
639,299614.33
640,297149.69
641,329183.92
643,304811.82
644,302881.64
645,327093.89
646,310804.93
647,283248.62
648,292539.73
649,275142.17
650,317738.56
652,303643.84
653,310338.17
654,315645.53
655,321110.22
656,278529.71
659,309111.47
663,353652.23
667,376225.61
668,367433.77
715,1652635.1
716,1606283.86
717,1567138.07
718,1432953.21
719,1601348.82
720,1558621.36
721,1693058.91
722,1472033.38
723,1770333.9
724,1667181.82
725,1519846.36
726,1540435.99
727,1498080.16
728,1619920.04
729,1524059.4
730,1531938.44
731,1644470.66
732,1857380.09
733,1685652.35
734,1677248.24
735,1640681.88
736,1759777.25
737,1690317.99
738,1560120.8
739,1585240.92
740,1532308.78
741,1633241.59
